Company Name,Symbol,Macro Economic Classification,Sector,Industry,Basic Industry
Bharti Airtel Ltd.,BHARTIARTL,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
Bharti Hexacom Ltd.,BHARTIHEXA,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
Bikaji Foods International Ltd.,BIKAJI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
Biocon Ltd.,BIOCON,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Birlasoft Ltd.,BSOFT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
Blue Dart Express Ltd.,BLUEDART,Services,Services,Transport Services,Logistics Solution Provider
Blue Star Ltd.,BLUESTARCO,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
Bombay Burmah Trading Corporation Ltd.,BBTC,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
Bosch Ltd.,BOSCHLTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
Brainbees Solutions Ltd.,FIRSTCRY,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
Brigade Enterprises Ltd.,BRIGADE,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
Britannia Industries Ltd.,BRITANNIA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
C.E. Info Systems Ltd.,MAPMYINDIA,Information Technology,Information Technology,IT - Software,Software Products
CCL Products (I) Ltd.,CCL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
CESC Ltd.,CESC,Utilities,Power,Power,Integrated Power Utilities
CG Power and Industrial Solutions Ltd.,CGPOWER,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
CRISIL Ltd.,CRISIL,Financial Services,Financial Services,Finance,Other Financial Services
Campus Activewear Ltd.,CAMPUS,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
Can Fin Homes Ltd.,CANFINHOME,Financial Services,Financial Services,Finance,Housing Finance Company
Canara Bank,CANBK,Financial Services,Financial Services,Banks,Public Sector Bank
Caplin Point Laboratories Ltd.,CAPLIPOINT,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Capri Global Capital Ltd.,CGCL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
Carborundum Universal Ltd.,CARBORUNIV,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
Castrol India Ltd.,CASTROLIND,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants
Ceat Ltd.,CEATLTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
Central Bank of India,CENTRALBK,Financial Services,Financial Services,Banks,Public Sector Bank
Central Depository Services (India) Ltd.,CDSL,Financial Services,Financial Services,Capital Markets,Depositories Clearing Houses and Other Intermediaries
Century Plyboards (India) Ltd.,CENTURYPLY,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
Cera Sanitaryware Ltd,CERA,Consumer Discretionary,Consumer Durables,Consumer Durables,Sanitary Ware
Chalet Hotels Ltd.,CHALET,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
Chennai Petroleum Corporation Ltd.,CHENNPETRO,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,Financial Services,Financial Services,Finance,Investment Company
