Company Name,Symbol,Macro Economic Classification,Sector,Industry,Basic Industry,Market Cap,Free Float Market Cap
Cohance Lifesciences Ltd.,COHANCE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,36037.82,12000.34332
Colgate Palmolive (India) Ltd.,COLPAL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,61006.38,29463.64018
Container Corporation of India Ltd.,CONCOR,Services,Services,Transport Services,Logistics Solution Provider,42250.75,19062.31536
Concord Biotech Ltd.,CONCORDBIO,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,17049.3,5371.212343
Coromandel International Ltd.,COROMANDEL,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,72061.34,28824.75343
Craftsman Automation Ltd.,CRAFTSMAN,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,15323.63,7860.257927
CreditAccess Grameen Ltd.,CREDITACC,Financial Services,Financial Services,Finance,Microfinance Institutions,19882.12,6637.068876
CRISIL Ltd.,CRISIL,Financial Services,Financial Services,Finance,Other Financial Services,37998.36,12630.9958
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,20468.08,20372.68236
City Union Bank Ltd.,CUB,Financial Services,Financial Services,Banks,Private Sector Bank,15969.46,15488.68804
Cummins India Ltd.,CUMMINSIND,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,102774.67,49963.80402
Cyient Ltd.,CYIENT,Information Technology,Information Technology,IT - Services,IT Enabled Services,13247.67,10046.75172
Dabur India Ltd.,DABUR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,91806.2,30435.59252
Dalmia Bharat Ltd.,DALBHARAT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,42532.28,18012.63151
Data Patterns (India) Ltd.,DATAPATTNS,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,14410.27,7599.790974
Valor Estate Ltd.,DBREALTY,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,9781.17,4432.854853
DCM Shriram Ltd.,DCMSHRIRAM,Diversified,Diversified,Diversified,Diversified,20958.64,5297.444129
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,19007.63,10080.9433
Deepak Nitrite Ltd.,DEEPAKNTR,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,24891.73,12501.2242
Delhivery Ltd.,DELHIVERY,Services,Services,Transport Services,Logistics Solution Provider,34891.98,24064.71681
Devyani International Ltd.,DEVYANI,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,19730.71,6554.146468
Divi's Laboratories Ltd.,DIVISLAB,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,162626.05,77582.38442
Dixon Technologies (India) Ltd.,DIXON,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,100832.49,64751.90145
DLF Ltd.,DLF,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,187925.92,48574.33946
Avenue Supermarts Ltd.,DMART,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,276626.63,62380.96419
DOMS Industries Ltd.,DOMS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary,14170.55,4195.871908
Dr. Reddy's Laboratories Ltd.,DRREDDY,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,99982.9,72747.95553
Dummy Company,DUMMY,,,,,,
Dummy Valor Estate Ltd.,DUMMYDBRLT,,,,,,
eClerx Services Ltd.,ECLERX,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),19670.07,8789.235766
Eicher Motors Ltd.,EICHERMOT,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,155693.9,77863.29837
E.I.D. Parry (India) Ltd.,EIDPARRY,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,20286.53,11673.78409
EIH Ltd.,EIHOTEL,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,22544.38,7127.901322
Elecon Engineering Co. Ltd.,ELECON,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,12474.39,4879.221255
Elgi Equipments Ltd.,ELGIEQUIP,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,16922.94,11464.36207
Emami Ltd.,EMAMILTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,25467.59,11471.85157
Emcure Pharmaceuticals Ltd.,EMCURE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,26531.17,3503.255093
Endurance Technologies Ltd.,ENDURANCE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,35447.04,8861.68853
Engineers India Ltd.,ENGINERSIN,Industrials,Construction,Construction,Civil Construction,11448.8,5566.659959
Eris Lifesciences Ltd.,ERIS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,23085.69,9117.485236
Escorts Kubota Ltd.,ESCORTS,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Tractors,37569.67,11114.15991
Eternal Ltd.,ETERNAL,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,292598.63,210161.0153
Exide Industries Ltd.,EXIDEIND,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,32287.25,17239.29283
Fertilisers and Chemicals Travancore Ltd.,FACT,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,60239.17,5783.261076
Federal Bank Ltd.,FEDERALBNK,Financial Services,Financial Services,Banks,Private Sector Bank,48914.71,48702.17215
Finolex Cables Ltd.,FINCABLES,Industrials,Capital Goods,Industrial Products,Cables - Electricals,13152.78,6492.805895
Finolex Industries Ltd.,FINPIPE,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,11789.06,5333.359496
Brainbees Solutions Ltd.,FIRSTCRY,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,19124.88,7723.73578
Five-Star Business Finance Ltd.,FIVESTAR,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),17283.77,10912.17829
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,39436.15,14623.1216
Fortis Healthcare Ltd.,FORTIS,Healthcare,Healthcare,Healthcare Services,Hospital,66602.41,45844.70178
Firstsource Solutions Ltd.,FSL,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),25928.06,11722.90505
GAIL (India) Ltd.,GAIL,Energy,Oil Gas & Consumable Fuels,Gas,Gas Transmission/Marketing,111546.57,45637.93869
Great Eastern Shipping Co. Ltd.,GESHIP,Services,Services,Transport Services,Shipping,13405.84,9284.426505
General Insurance Corporation of India,GICRE,Financial Services,Financial Services,Insurance,General Insurance,66140.88,11625.38405
Gillette India Ltd.,GILLETTE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,34703.26,8639.896156
Gland Pharma Ltd.,GLAND,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,32209.88,15515.33848
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,45333.05,11047.25743
Glenmark Pharmaceuticals Ltd.,GLENMARK,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,58274.47,31008.65976
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,13133.4,3408.012233
GMR Airports Ltd.,GMRAIRPORT,Services,Services,Transport Infrastructure,Airport & Airport services,95833.27,32293.98972
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,7403.61,4190.026571
Godfrey Phillips India Ltd.,GODFRYPHLP,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,51941.93,13508.12118
Go Digit General Insurance Ltd.,GODIGIT,Financial Services,Financial Services,Insurance,General Insurance,33764.28,8731.511086
Godrej Agrovet Ltd.,GODREJAGRO,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,15694.01,3462.835992
Godrej Consumer Products Ltd.,GODREJCP,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,125019.68,49033.34544
Godrej Industries Ltd.,GODREJIND,Diversified,Diversified,Diversified,Diversified,37132.55,5363.202128
Godrej Properties Ltd.,GODREJPROP,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,61837.62,30776.70599
Godawari Power & Ispat Ltd.,GPIL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,12778.91,4655.906548
Gujarat Pipavav Port Ltd.,GPPL,Services,Services,Transport Infrastructure,Port & Port services,7442.56,4165.048636
Granules India Ltd.,GRANULES,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,10927.46,6513.006415
Graphite India Ltd.,GRAPHITE,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,10353.93,3524.208435
Grasim Industries Ltd.,GRASIM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,186590.96,104445.5986
Gravita India Ltd.,GRAVITA,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,13647.18,5369.292929
Garden Reach Shipbuilders & Engineers Ltd.,GRSE,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,29302.4,7472.053803
Gujarat State Petronet Ltd.,GSPL,Energy,Oil Gas & Consumable Fuels,Gas,Gas Transmission/Marketing,17089.96,10062.5187
Gujarat Gas Ltd.,GUJGASLTD,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier,29187.74,7289.463263
GE Vernova T&D India Ltd.,GVT&D,,,,,,
Hindustan Aeronautics Ltd.,HAL,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,304225.75,86151.55985
Happiest Minds Technologies Ltd.,HAPPSTMNDS,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,9046.65,4852.467401
Havells India Ltd.,HAVELLS,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,93823.81,37653.46466
